Ruta,X,Y,Direccion
38,21.848651,-102.316944,1
38,21.847988,-102.314392,1
38,21.847396,-102.312198,1
38,21.847135,-102.310871,1
38,21.846792,-102.309543,1
38,21.846756,-102.308472,1
38,21.847384,-102.308306,1
38,21.848225,-102.308063,1
38,21.849468,-102.307719,1
38,21.850723,-102.307464,1
38,21.850996,-102.307349,1
38,21.851304,-102.307285,1
38,21.852215,-102.307107,1
38,21.853246,-102.306864,1
38,21.854146,-102.306609,1
38,21.855389,-102.306583,1
38,21.857236,-102.306494,1
38,21.858093,-102.306429,1
38,21.858442,-102.306407,1
38,21.858471,-102.306064,1
38,21.858631,-102.305528,1
38,21.859009,-102.304111,1
38,21.859447,-102.302534,1
38,21.859826,-102.301418,1
38,21.860304,-102.300914,1
38,21.860692,-102.300678,1
38,21.860911,-102.301032,1
38,21.861459,-102.301901,1
38,21.861976,-102.302706,1
38,21.862654,-102.303274,1
38,21.863699,-102.303543,1
38,21.864695,-102.303382,1
38,21.865979,-102.303167,1
38,21.866726,-102.302996,1
38,21.866965,-102.302963,1
38,21.866746,-102.301987,1
38,21.866517,-102.300753,1
38,21.866198,-102.299079,1
38,21.866079,-102.298318,1
38,21.866009,-102.297921,1
38,21.865856,-102.297014,1
38,21.865668,-102.296029,1
38,21.865584,-102.295551,1
38,21.865467,-102.294892,1
38,21.865392,-102.294342,1
38,21.865509,-102.294206,1
38,21.865852,-102.294269,1
38,21.866648,-102.294405,1
38,21.867468,-102.294531,1
38,21.868757,-102.294775,1
38,21.869528,-102.294865,1
38,21.870231,-102.294964,1
38,21.870876,-102.295054,1
38,21.871671,-102.295118,1
38,21.872483,-102.295072,1
38,21.874133,-102.295045,1
38,21.875305,-102.294955,1
38,21.876117,-102.295127,1
38,21.877138,-102.295496,1
38,21.878042,-102.295803,1
38,21.878428,-102.295938,1
38,21.878804,-102.296038,1
38,21.879189,-102.296173,1
38,21.880035,-102.296399,1
38,21.880839,-102.296552,1
38,21.881199,-102.296588,1
38,21.881801,-102.296949,1
38,21.882262,-102.297184,1
38,21.882881,-102.297463,1
38,21.883367,-102.297671,1
38,21.884003,-102.297842,1
38,21.884824,-102.297752,1
38,21.885753,-102.297427,1
38,21.886448,-102.297138,1
38,21.886933,-102.296913,1
38,21.887804,-102.296462,1
38,21.888457,-102.296029,1
38,21.889261,-102.295514,1
38,21.889888,-102.295127,1
38,21.890123,-102.295118,1
38,21.890667,-102.295451,1
38,21.890918,-102.295623,1
38,21.891412,-102.295993,1
38,21.891931,-102.296317,1
38,21.892852,-102.296633,1
38,21.893882,-102.296949,1
38,21.894886,-102.297256,1
38,21.896016,-102.297635,1
38,21.897071,-102.297995,1
38,21.897891,-102.298257,1
38,21.897808,-102.298699,1
38,21.897489,-102.299962,1
38,21.897146,-102.301126,1
38,21.896887,-102.302109,1
38,21.896619,-102.303192,1
38,21.896393,-102.303932,1
38,21.896318,-102.304184,1
38,21.896761,-102.304428,1
38,21.897297,-102.304672,1
38,21.897741,-102.304879,1
38,21.898251,-102.305159,1
38,21.899038,-102.305592,1
38,21.900068,-102.306124,1
38,21.900771,-102.306521,1
38,21.901407,-102.306855,1
38,21.902571,-102.307477,1
38,21.903039,-102.307712,1
38,21.904052,-102.308235,1
38,21.904948,-102.308659,1
38,21.906312,-102.309291,1
38,21.907668,-102.309895,1
38,21.908807,-102.310437,1
38,21.909786,-102.310888,1
38,21.910924,-102.311393,1
38,21.911786,-102.311817,1
38,21.912849,-102.312232,1
38,21.913803,-102.312593,1
38,21.914699,-102.312936,1
38,21.915585,-102.313301,1
38,21.916262,-102.313591,1
38,21.916779,-102.313784,1
38,21.917665,-102.314095,1
38,21.918531,-102.314417,1
38,21.919705,-102.314986,1
38,21.921009,-102.315672,1
38,21.922442,-102.316445,1
38,21.923955,-102.317239,1
38,21.924453,-102.317475,1
38,21.925598,-102.318065,1
38,21.926779,-102.318696,1
38,21.928299,-102.319417,1
38,21.929692,-102.320147,1
38,21.931085,-102.320833,1
38,21.932208,-102.321655,1
38,21.933798,-102.323026,1
38,21.935706,-102.324127,1
38,21.936761,-102.324614,1
38,21.937949,-102.324506,1
38,21.940192,-102.324596,1
38,21.942334,-102.324777,1
38,21.944058,-102.324975,1
38,21.946066,-102.325101,1
38,21.947472,-102.324975,1
38,21.949179,-102.324578,1
38,21.950367,-102.324326,1
38,21.950786,-102.324055,1
38,21.951489,-102.323676,1
38,21.952443,-102.323117,1
38,21.953681,-102.322702,1
38,21.955288,-102.321998,1
38,21.958233,-102.320897,1
38,21.959789,-102.320356,1
38,21.960874,-102.320217,1
38,21.960725,-102.320303,2
38,21.959789,-102.320356,2
38,21.958233,-102.320897,2
38,21.955288,-102.321998,2
38,21.953681,-102.322702,2
38,21.952443,-102.323117,2
38,21.951489,-102.323676,2
38,21.950786,-102.324055,2
38,21.950367,-102.324326,2
38,21.949179,-102.324578,2
38,21.947472,-102.324975,2
38,21.946066,-102.325101,2
38,21.944058,-102.324975,2
38,21.942334,-102.324777,2
38,21.940192,-102.324596,2
38,21.937949,-102.324506,2
38,21.936761,-102.324614,2
38,21.935706,-102.324127,2
38,21.933798,-102.323026,2
38,21.932208,-102.321655,2
38,21.931085,-102.320833,2
38,21.929692,-102.320147,2
38,21.928299,-102.319417,2
38,21.926779,-102.318696,2
38,21.925598,-102.318065,2
38,21.924453,-102.317475,2
38,21.923955,-102.317239,2
38,21.922442,-102.316445,2
38,21.921009,-102.315672,2
38,21.919705,-102.314986,2
38,21.918531,-102.314417,2
38,21.917665,-102.314095,2
38,21.916779,-102.313784,2
38,21.916262,-102.313591,2
38,21.915585,-102.313301,2
38,21.914699,-102.312936,2
38,21.913803,-102.312593,2
38,21.912849,-102.312232,2
38,21.911786,-102.311817,2
38,21.910924,-102.311393,2
38,21.909786,-102.310888,2
38,21.908807,-102.310437,2
38,21.907668,-102.309895,2
38,21.906312,-102.309291,2
38,21.904948,-102.308659,2
38,21.904052,-102.308235,2
38,21.903039,-102.307712,2
38,21.902571,-102.307477,2
38,21.901407,-102.306855,2
38,21.900771,-102.306521,2
38,21.900068,-102.306124,2
38,21.899038,-102.305592,2
38,21.898251,-102.305159,2
38,21.897741,-102.304879,2
38,21.897297,-102.304672,2
38,21.896761,-102.304428,2
38,21.896318,-102.304184,2
38,21.896393,-102.303932,2
38,21.896619,-102.303192,2
38,21.896887,-102.302109,2
38,21.897146,-102.301126,2
38,21.897365,-102.300332,2
38,21.897684,-102.299206,2
38,21.897823,-102.298626,2
38,21.897913,-102.298251,2
38,21.898141,-102.297489,2
38,21.898461,-102.296381,2
38,21.898612,-102.295866,2
38,21.897457,-102.295749,2
38,21.896377,-102.295623,2
38,21.895302,-102.295499,2
38,21.894267,-102.295403,2
38,21.893271,-102.295231,2
38,21.892365,-102.295177,2
38,21.891708,-102.295102,2
38,21.891334,-102.295096,2
38,21.891275,-102.294904,2
38,21.890813,-102.294356,2
38,21.890191,-102.293712,2
38,21.889872,-102.293335,2
38,21.889457,-102.293782,2
38,21.889096,-102.294107,2
38,21.888309,-102.294924,2
38,21.887374,-102.295759,2
38,21.886717,-102.296353,2
38,21.886427,-102.296276,2
38,21.885556,-102.295976,2
38,21.884876,-102.295696,2
38,21.884325,-102.295434,2
38,21.884035,-102.295313,2
38,21.883786,-102.295294,2
38,21.883479,-102.295198,2
38,21.883017,-102.295064,2
38,21.882235,-102.294834,2
38,21.881501,-102.294586,2
38,21.880898,-102.294413,2
38,21.880158,-102.294184,2
38,21.879518,-102.293973,2
38,21.879056,-102.293788,2
38,21.878891,-102.293724,2
38,21.878518,-102.293597,2
38,21.877689,-102.293348,2
38,21.876825,-102.293042,2
38,21.875617,-102.292678,2
38,21.874676,-102.292372,2
38,21.873592,-102.292072,2
38,21.872497,-102.291798,2
38,21.872402,-102.292327,2
38,21.872248,-102.293016,2
38,21.872065,-102.293616,2
38,21.871858,-102.293986,2
38,21.871721,-102.294241,2
38,21.871414,-102.294624,2
38,21.871094,-102.294943,2
38,21.870845,-102.295102,2
38,21.870619,-102.295071,2
38,21.870231,-102.294964,2
38,21.869528,-102.294865,2
38,21.868757,-102.294775,2
38,21.867468,-102.294531,2
38,21.866648,-102.294405,2
38,21.865852,-102.294269,2
38,21.865509,-102.294206,2
38,21.865392,-102.294342,2
38,21.865467,-102.294892,2
38,21.865584,-102.295551,2
38,21.865668,-102.296029,2
38,21.865856,-102.297014,2
38,21.866009,-102.297921,2
38,21.866079,-102.298318,2
38,21.866198,-102.299079,2
38,21.866517,-102.300753,2
38,21.866746,-102.301987,2
38,21.866965,-102.302963,2
38,21.866726,-102.302996,2
38,21.865979,-102.303167,2
38,21.864695,-102.303382,2
38,21.863699,-102.303543,2
38,21.862654,-102.303274,2
38,21.861976,-102.302706,2
38,21.861459,-102.301901,2
38,21.860911,-102.301032,2
38,21.860692,-102.300678,2
38,21.860304,-102.300914,2
38,21.859826,-102.301418,2
38,21.859447,-102.302534,2
38,21.859009,-102.304111,2
38,21.858631,-102.305528,2
38,21.858471,-102.306064,2
38,21.858442,-102.306407,2
38,21.858093,-102.306429,2
38,21.857236,-102.306494,2
38,21.855389,-102.306583,2
38,21.854146,-102.306609,2
38,21.853246,-102.306864,2
38,21.852215,-102.307107,2
38,21.851304,-102.307285,2
38,21.850996,-102.307349,2
38,21.850723,-102.307464,2
38,21.849468,-102.307719,2
38,21.848225,-102.308063,2
38,21.847384,-102.308306,2
38,21.846756,-102.308472,2
38,21.846792,-102.309543,2
38,21.847135,-102.310871,2
38,21.847396,-102.312198,2
38,21.847988,-102.314392,2
38,21.848651,-102.316944,2
39,21.885407,-102.222084,1
39,21.884536,-102.223816,1
39,21.884268,-102.225332,1
39,21.883733,-102.226884,1
39,21.882921,-102.228441,1
39,21.882217,-102.229078,1
39,21.881724,-102.229594,1
39,21.881189,-102.230611,1
39,21.880414,-102.232067,1
39,21.879879,-102.233023,1
39,21.879373,-102.233919,1
39,21.878908,-102.234495,1
39,21.878204,-102.235314,1
39,21.878669,-102.235527,1
39,21.879499,-102.235436,1
39,21.880414,-102.235451,1
39,21.881541,-102.235921,1
39,21.882724,-102.236407,1
39,21.883737,-102.236877,1
39,21.883554,-102.237484,1
39,21.883104,-102.238425,1
39,21.882738,-102.239381,1
39,21.882555,-102.240321,1
39,21.882231,-102.241171,1
39,21.881822,-102.242248,1
39,21.881386,-102.243053,1
39,21.880921,-102.244509,1
39,21.880386,-102.246133,1
39,21.879908,-102.247544,1
