Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion
3,21.922034, -102.285173,1,4,21.830613,-102.293666,1,5,21.849548,-102.319082,1,6,21.832157,-102.293637,1,,8,21.850213,-102.297491,1,9,21.839969,-102.293479,1
3,21.918857,-102.285894,1,4,21.831796,-102.293494,1,5,21.852589,-102.327157,1,6,21.841385,-102.293532,1,,8,21.849941,-102.297364,1,9,21.841384,-102.293575,1
3,21.915274,-102.286473,1,4,21.832435,-102.288783,1,5,21.853187,-102.327447,1,6,21.841906,-102.300436,1,,8,21.848502,-102.297274,1,9,21.841962,-102.301396,1
3,21.915467,-102.291992,1,4,21.831371,-102.288596,1,5,21.854798,-102.326736,1,6,21.842267,-102.300376,1,,8,21.848537,-102.293861,1,9,21.845198,-102.301493,1
3,21.907679,-102.292309,1,4,21.831504,-102.284816,1,5,21.851708,-102.318253,1,6,21.842296,-102.299049,1,,8,21.857764,-102.294873,1,9,21.849609,-102.301037,1
3,21.907989,-102.290458,1,4,21.835386,-102.285718,1,5,21.854354,-102.317008,1,6,21.844915,-102.299147,1,,8,21.860771,-102.300767,1,9,21.851023,-102.307393,1
3,21.901865,-102.288471,1,4,21.836529,-102.280047,1,5,21.859143,-102.313995,1,6,21.846352,-102.299185,1,,8,21.862169,-102.303089,1,9,21.853114,-102.314753,1
3,21.900697,-102.292522,1,4,21.842578,-102.280132,1,5,21.858438,-102.306405,1,6,21.848175,-102.299815,1,,8,21.862808,-102.303498,1,9,21.854225,-102.317006,1
3,21.900429,-102.292704,1,4,21.841089,-102.289957,1,5,21.859824,-102.301462,1,6,21.849682,-102.299709,1,,8,21.863732,-102.303498,1,9,21.855515,-102.316215,1
3,21.896136,-102.292795,1,4,21.844902,-102.290653,1,5,21.860544,-102.300686,1,6,21.851126,-102.299777,1,,8,21.866881,-102.302962,1,9,21.859115,-102.313918,1
3,21.896516,-102.291384,1,4,21.858117,-102.293037,1,5,21.860711,-102.300668,1,6,21.852183,-102.299683,1,,8,21.866097,-102.298282,1,9,21.867889,-102.308866,1
3,21.893559,-102.290458,1,4,21.857864,-102.294944,1,5,21.861925,-102.302743,1,6,21.852292,-102.300892,1,,8,21.865382,-102.294243,1,9,21.866942,-102.302971,1
3,21.889772,-102.289153,1,4,21.858085,-102.295932,1,5,21.862603,-102.303266,1,6,21.852895,-102.300811,1,,8,21.865681,-102.294222,1,9,21.865427,-102.294229,1
3,21.887152,-102.292516,1,4,21.860709,-102.300633,1,5,21.863516,-102.303509,1,6,21.853397,-102.300955,1,,8,21.870421,-102.295037,1,9,21.870609,-102.295056,1
3,21.884865,-102.295713,1,4,21.863649,-102.298793,1,5,21.866832,-102.302896,1,6,21.854109,-102.300919,1,,8,21.871755,-102.295123,1,9,21.871488,-102.295103,1
3,21.884112,-102.295341,1,4,21.863998,-102.298722,1,5,21.865333,-102.294235,1,6,21.854084,-102.301172,1,,8,21.875538,-102.294973,1,9,21.875578,-102.294999,1
3,21.883715,-102.295339,1,4,21.864204,-102.299891,1,5,21.870851,-102.294993,1,6,21.853883,-102.301217,1,,8,21.880138,-102.296453,1,9,21.878325,-102.295904,1
3,21.881546,-102.294565,1,4,21.866283,-102.299474,1,5,21.871554,-102.295101,1,6,21.853766,-102.301117,1,,8,21.881233,-102.296625,1,9,21.880067,-102.296456,1
3,21.878998,-102.293776,1,4,21.865315,-102.294187,1,5,21.875355,-102.294975,1,6,21.853305,-102.301172,1,,8,21.883881,-102.297805,1,9,21.881112,-102.296611,1
3,21.874717,-102.292365,1,4,21.871564,-102.295188,1,5,21.877883,-102.295742,1,6,21.853649,-102.302841,1,,8,21.884857,-102.297784,1,9,21.882916,-102.297362,1
3,21.873112,-102.292001,1,4,21.875528,-102.295021,1,5,21.879206,-102.296175,1,6,21.854143,-102.303589,1,,8,21.887306,-102.296754,1,9,21.883757,-102.295357,1
3,21.872704,-102.291895,1,4,21.876303,-102.295174,1,5,21.880521,-102.296527,1,6,21.854829,-102.304104,1,,8,21.889994,-102.295123,1,9,21.883946,-102.295248,1
3,21.872451,-102.291788,1,4,21.878795,-102.296023,1,5,21.881174,-102.296572,1,6,21.856914,-102.304843,1,,8,21.891408,-102.295016,1,9,21.884859,-102.295693,1
3,21.872113,-102.293457,1,4,21.881093,-102.296594,1,5,21.883886,-102.297844,1,6,21.858664,-102.305466,1,,8,21.891667,-102.294737,1,9,21.886605,-102.296341,1
3,21.871479,-102.294519,1,4,21.882901,-102.297415,1,5,21.884994,-102.297746,1,6,21.859845,-102.301424,1,,8,21.893226,-102.293372,1,9,21.886757,-102.296302,1
3,21.870873,-102.295081,1,4,21.883378,-102.296232,1,5,21.887543,-102.296638,1,6,21.860272,-102.300955,1,,8,21.894164,-102.292921,1,9,21.889054,-102.294132,1
3,21.865678,-102.294277,1,4,21.886658,-102.297025,1,5,21.890035,-102.295045,1,6,21.860573,-102.300684,1,,8,21.896156,-102.292741,1,9,21.889894,-102.293343,1
3,21.865438,-102.294444,1,4,21.887871,-102.296413,1,5,21.891457,-102.294999,1,6,21.861972,-102.302768,1,,8,21.896575,-102.291442,1,9,21.891402,-102.294967,1
3,21.866114,-102.298297,1,4,21.890066,-102.295049,1,5,21.892836,-102.293634,1,6,21.863002,-102.303385,1,,8,21.900342,-102.292542,1,9,21.892648,-102.293788,1
3,21.863579,-102.298844,1,4,21.890867,-102.295606,1,5,21.894385,-102.292845,1,6,21.864068,-102.303449,1,,8,21.900677,-102.292362,1,9,21.893401,-102.293202,1
3,21.862242,-102.299663,1,4,21.892003,-102.296371,1,5,21.900467,-102.292708,1,6,21.866831,-102.302897,1,,8,21.902652,-102.285072,1,9,21.894133,-102.292882,1
3,21.860735,-102.300695,1,4,21.897955,-102.298274,1,5,21.907674,-102.292314,1,6,21.865536,-102.295644,1,,8,21.902652,-102.284513,1,9,21.895024,-102.292812,1
3,21.860439,-102.300877,1,4,21.896313,-102.304189,1,5,21.915451,-102.291897,1,6,21.865347,-102.294217,1,,8,21.902485,-102.283881,1,9,21.896126,-102.292765,1
3,21.860017,-102.301529,1,4,21.897303,-102.304636,1,5,21.925628,-102.291644,1,6,21.870903,-102.295043,1,,8,21.901882,-102.283105,1,9,21.896575,-102.291391,1
3,21.858778,-102.305565,1,4,21.902911,-102.307698,1,5,21.944608,-102.290598,1,6,21.871799,-102.293938,1,,8,21.901263,-102.282582,1,9,21.900534,-102.292535,1
3,21.855166,-102.304325,1,4,21.909538,-102.310846,1,5,21.962794,-102.289838,1,6,21.872058,-102.293348,1,,8,21.902485,-102.280688,1,9,21.902494,-102.285656,1
3,21.854369,-102.303928,1,4,21.916183,-102.313522,1,5,21.960925,-102.277564,1,6,21.872118,-102.292962,1,,8,21.905749,-102.281806,1,9,21.902678,-102.284826,1
3,21.853632,-102.303005,1,4,21.919432,-102.314781,1,5,21.959718,-102.271363,1,6,21.873223,-102.288724,1,,8,21.906873,-102.278558,1,9,21.902662,-102.284285,1
3,21.853214,-102.301181,1,4,21.924361,-102.317398,1,5,21.958761,-102.271686,1,6,21.874756,-102.289335,1,,8,21.910988,-102.280118,1,9,21.902327,-102.283581,1
3,21.852885,-102.300956,1,4,21.931548,-102.321154,1,5,21.959887,-102.278033,1,6,21.875274,-102.289443,1,,8,21.912185,-102.278874,1,9,21.899263,-102.281127,1
3,21.849649,-102.301181,1,4,21.933543,-102.322776,1,5,21.956123,-102.279413,1,6,21.877992,-102.289121,1,,8,21.912494,-102.278783,1,9,21.896015,-102.278439,1
3,21.849798,-102.298821,1,4,21.936981,-102.324629,1,5,21.955407,-102.273362,1,6,21.879316,-102.289056,1,,8,21.914761,-102.278692,1,9,21.899963,-102.273208,1
3,21.850266,-102.297094,1,4,21.937915,-102.324462,1,5,21.955218,-102.272997,1,6,21.878928,-102.293713,1,,8,21.914634,-102.276644,1,9,21.900011,-102.273004,1
