Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion
40,21.894169,-102.258927,1,20,21.893185,-102.264483,1,1,21.944623,-102.290608,1,2,21.865607,-102.238377,1
40,21.897216,-102.258819,1,20,21.894379,-102.266028,1,1,21.930175,-102.291528,1,2,21.866912,-102.241985,1
40,21.898793,-102.258988,1,20,21.895614,-102.270341,1,1,21.921177,-102.291872,1,2,21.867757,-102.244443,1
40,21.900117,-102.259201,1,20,21.896709,-102.271007,1,1,21.915444,-102.291958,1,2,21.866461,-102.245187,1
40,21.902918,-102.259322,1,20,21.899436,-102.270728,1,1,21.908015,-102.292456,1,2,21.865546,-102.246537,1
40,21.903453,-102.259565,1,20,21.899914,-102.271822,1,1,21.900912,-102.292711,1,2,21.863997,-102.247629,1
40,21.904219,-102.260786,1,20,21.900054,-102.273131,1,1,21.895574,-102.292848,1,2,21.858181,-102.250694,1
40,21.904722,-102.261456,1,20,21.896072,-102.278452,1,1,21.894041,-102.292934,1,2,21.857041,-102.251696,1
40,21.905036,-102.262942,1,20,21.897605,-102.279761,1,1,21.893005,-102.293535,1,2,21.856365,-102.252667,1
40,21.905142,-102.263102,1,20,21.902144,-102.283323,1,1,21.891432,-102.295016,1,2,21.855252,-102.256961,1
40,21.904219,-102.266049,1,20,21.902662,-102.284267,1,1,21.890522,-102.294029,1,2,21.853168,-102.265321,1
40,21.903012,-102.269781,1,20,21.902721,-102.285061,1,1,21.889875,-102.293331,1,2,21.852196,-102.269342,1
40,21.903264,-102.270119,1,20,21.901885,-102.288387,1,1,21.889079,-102.294157,1,2,21.860139,-102.269463,1
40,21.904302,-102.270209,1,20,21.900691,-102.292808,1,1,21.888053,-102.295198,1,2,21.860082,-102.276139,1
40,21.905778,-102.270926,1,20,21.899715,-102.296026,1,1,21.886689,-102.296353,1,2,21.860195,-102.282815,1
40,21.908824,-102.272492,1,20,21.897286,-102.304674,1,1,21.886421,-102.296277,1,2,21.862504,-102.282694,1
40,21.913502,-102.275003,1,20,21.895833,-102.310017,1,1,21.884875,-102.295711,1,2,21.866475,-102.281935,1
40,21.914259,-102.275625,1,20,21.894479,-102.311755,1,1,21.884029,-102.295302,1,2,21.866926,-102.281814,1
40,21.914717,-102.276398,1,20,21.892607,-102.312592,1,1,21.883733,-102.295296,1,2,21.869925,-102.281905,1
40,21.914916,-102.277492,1,20,21.889083,-102.312656,1,1,21.882993,-102.295034,1,2,21.873544,-102.281602,1
40,21.915095,-102.281011,1,20,21.885519,-102.312613,1,1,21.881483,-102.294588,1,2,21.878373,-102.281313,1
40,21.915314,-102.286461,1,20,21.880621,-102.312506,1,1,21.880779,-102.294377,1,2,21.878558,-102.281155,1
40,21.915414,-102.288307,1,20,21.874309,-102.312055,1,1,21.879512,-102.293969,1,2,21.878708,-102.281146,1
40,21.915513,-102.288628,1,20,21.868898,-102.310263,1,1,21.878902,-102.293714,1,2,21.878809,-102.281326,1
40,21.915613,-102.292044,1,20,21.868507,-102.310065,1,1,21.877671,-102.293344,1,2,21.878876,-102.281471,1
40,21.915802,-102.297428,1,20,21.868162,-102.309519,1,1,21.876191,-102.292859,1,2,21.882559,-102.282247,1
40,21.916039,-102.303884,1,20,21.867955,-102.309024,1,1,21.874669,-102.292387,1,2,21.883187,-102.282445,1
40,21.916583,-102.313658,1,20,21.866943,-102.302975,1,1,21.873568,-102.292081,1,2,21.884837,-102.282797,1
40,21.916259,-102.317716,1,20,21.866051,-102.298372,1,1,21.873266,-102.292049,1,2,21.884133,-102.285395,1
40,21.916024,-102.318312,1,20,21.865286,-102.294234,1,1,21.872497,-102.291794,1,2,21.882685,-102.290294,1
40,21.915422,-102.318889,1,20,21.866397,-102.283308,1,1,21.872236,-102.293063,1,2,21.884435,-102.291178,1
40,21.914786,-102.319088,1,20,21.866581,-102.281845,1,1,21.871946,-102.293854,1,2,21.885255,-102.291575,1
40,21.914166,-102.319033,1,20,21.868215,-102.277036,1,1,21.871496,-102.294562,1,2,21.885339,-102.291422,1
40,21.913195,-102.318673,1,20,21.869756,-102.272499,1,1,21.870863,-102.295162,1,2,21.887097,-102.292488,1
40,21.910634,-102.317698,1,20,21.870722,-102.271433,1,1,21.869472,-102.294979,1,2,21.885477,-102.294582,1
40,21.909512,-102.317518,1,20,21.872287,-102.270739,1,1,21.866772,-102.294507,1,2,21.884865,-102.295704,1
40,21.903938,-102.316381,1,20,21.873575,-102.270813,1,1,21.865726,-102.294316,1,2,21.884534,-102.296493,1
40,21.903034,-102.316345,1,20,21.878015,-102.271507,1,1,21.865495,-102.294501,1,2,21.885851,-102.296865,1
40,21.901879,-102.316561,1,20,21.883859,-102.272524,1,1,21.865727,-102.295664,1,2,21.886681,-102.297055,1
40,21.900138,-102.316995,1,20,21.889633,-102.273515,1,1,21.865939,-102.297106,1,2,21.887772,-102.296471,1
40,21.898631,-102.317175,1,20,21.890093,-102.273738,1,1,21.866096,-102.298294,1,2,21.890011,-102.295052,1
40,21.892738,-102.317121,1,20,21.895982,-102.278399,1,1,21.864001,-102.298764,1,2,21.890292,-102.294991,1
40,21.888217,-102.317049,1,20,21.897869,-102.276054,1,1,21.863466,-102.298891,1,2,21.891623,-102.293322,1
40,21.887681,-102.317103,1,20,21.900075,-102.273136,1,1,21.860877,-102.300511,1,2,21.891736,-102.292935,1
40,21.886158,-102.317446,1,20,21.899862,-102.271739,1,1,21.860538,-102.300618,1,2,21.892845,-102.289038,1
40,21.885002,-102.317626,1,20,21.899378,-102.270863,1,1,21.859553,-102.298945,1,2,21.893761,-102.285948,1
40,21.880632,-102.317987,1,20,21.896883,-102.271197,1,1,21.856456,-102.300812,1,2,21.893751,-102.285777,2
40,21.871774,-102.318745,1,20,21.895761,-102.270822,1,1,21.855848,-102.300983,1,2,21.890784,-102.284854,2
40,21.871339,-102.318727,1,20,21.895239,-102.270196,1,1,21.856087,-102.295308,1,2,21.887758,-102.283803,2
40,21.867772,-102.318221,1,20,21.894349,-102.266444,1,1,21.854544,-102.296252,1,2,21.884821,-102.282805,2
40,21.863402,-102.317446,1,20,21.893904,-102.265297,1,1,21.853598,-102.296713,1,2,21.883228,-102.282483,2
40,21.861359,-102.317139,1,20,21.893227,-102.264505,1,1,21.851407,-102.297883,1,2,21.882561,-102.282343,2
40,21.860304,-102.316543,1,20,21.893401,-102.264713,2,1,21.851158,-102.297936,1,2,21.881296,-102.282225,2
40,21.859701,-102.315858,1,20,21.894078,-102.265714,2,1,21.850372,-102.297561,1,2,21.878813,-102.281537,2
40,21.859182,-102.314757,1,20,21.895065,-102.269592,2,1,21.850232,-102.297529,2,2,21.878584,-102.281505,2
40,21.859115,-102.314017,1,20,21.895413,-102.270425,2,1,21.849894,-102.298837,2,2,21.878325,-102.281419,2
40,21.858864,-102.311311,1,20,21.896245,-102.271072,2,1,21.849685,-102.301048,2,2,21.874552,-102.281612,2
40,21.858428,-102.306529,1,20,21.899223,-102.270655,2,1,21.852742,-102.300822,2,2,21.873476,-102.281677,2
40,21.858462,-102.306168,1,20,21.899881,-102.271801,2,1,21.853289,-102.300951,2,2,21.870131,-102.281913,2
40,21.859801,-102.301513,1,20,21.900055,-102.273115,2,1,21.854096,-102.300973,2,2,21.869643,-102.281891,2
40,21.860187,-102.300683,1,20,21.898798,-102.274949,2,1,21.856287,-102.300822,2,2,21.867178,-102.281884,2
40,21.860203,-102.300106,1,20,21.896032,-102.278452,2,1,21.856665,-102.300618,2,2,21.866642,-102.281992,2
40,21.859466,-102.298969,1,20,21.892321,-102.275498,2,1,21.859642,-102.298859,2,2,21.866157,-102.282173,2
40,21.857993,-102.296028,1,20,21.889862,-102.273588,2,1,21.860509,-102.300307,2,2,21.862556,-102.282768,2
40,21.857775,-102.295089,1,20,21.884169,-102.272677,2,1,21.860837,-102.300425,2,2,21.860111,-102.282768,2
40,21.857742,-102.294566,1,20,21.878215,-102.271584,2,1,21.863366,-102.298902,2,2,21.859977,-102.277644,2
40,21.858026,-102.293141,1,20,21.872935,-102.270788,2,1,21.863987, -102.298722,2,2,21.859927,-102.272952,2
40,21.859048,-102.287637,1,20,21.871731,-102.270995,2,1,21.864196,-102.299913,2,2,21.859897,-102.269493,2
40,21.860053,-102.282874,1,20,21.870226,-102.271938,2,1,21.866228,-102.299462,2,2,21.856968,-102.269478,2
40,21.859969,-102.275476,1,20,21.869488,-102.273324,2,1,21.865819,-102.297059,2,2,21.852109,-102.269342,2
40,21.860036,-102.272896,1,20,21.866587,-102.281903,2,1,21.865391,-102.294473,2,2,21.853694,-102.262857,2
40,21.859852,-102.269431,1,20,21.865466,-102.294226,2,1,21.865849,-102.294227,2,2,21.855115,-102.256886,2
40,21.859701,-102.258316,1,20,21.866998,-102.303012,2,1,21.871276,-102.295149,2,2,21.856346,-102.252676,2
40,21.859885,-102.255953,1,20,21.867956,-102.308967,2,1,21.872122,-102.295074,2,2,21.857128,-102.251477,2
40,21.861024,-102.253733,1,20,21.868339,-102.309793,2,1,21.873118,-102.295074,2,2,21.857791,-102.250839,2
40,21.862313,-102.252777,1,20,21.868913,-102.310324,2,1,21.875477,-102.294988,2,2,21.865085,-102.246883,2
40,21.864172,-102.252344,1,20,21.874112,-102.311916,2,1,21.876722,-102.295353,2,2,21.865772,-102.246169,2
40,21.866634,-102.252939,1,20,21.879529,-102.312387,2,1,21.878395,-102.295932,2,2,21.866506,-102.245046,2
40,21.870334,-102.254184,1,20,21.885547,-102.312623,2,1,21.880067,-102.296437,2,2,21.867714,-102.244485,2
40,21.874437,-102.255357,1,20,21.892359,-102.312623,2,1,21.881103,-102.296576,2,2,21.866861,-102.242061,2
40,21.879376,-102.256999,1,20,21.894137,-102.312033,2,1,21.882885,-102.297467,2,2,21.865701,-102.238514,2
40,21.885605,-102.260337,1,20,21.895149,-102.311061,2,1,21.883791,-102.297831,2,,,,
40,21.891247,-102.263242,1,20,21.895833,-102.309911,2,1,21.884488,-102.297842,2,,,,
40,21.893257,-102.264379,1,20,21.897365,-102.304751,2,1,21.885642,-102.297456,2,,,,
40,21.894027,-102.265155,1,20,21.899663,-102.295966,2,1,21.887803,-102.296437,2,,,,
40,21.894445,-102.266238,1,20,21.902562,-102.285765,2,1,21.890073,-102.295063,2,,,,
40,21.895366,-102.269864,1,20,21.902809,-102.284792,2,1,21.891446,-102.294988,2,,,,
40,21.895768,-102.270496,1,20,21.902533,-102.283895,2,1,21.892671,-102.293679,2,,,,
40,21.896404,-102.270875,1,20,21.902054,-102.283343,2,1,21.893985,-102.292939,2,,,,
40,21.897191,-102.271001,1,20,21.897558,-102.279706,2,1,21.896115,-102.292767,2,,,,
40,21.902649,-102.270189,1,20,21.896011,-102.278518,2,1,21.896563,-102.291437,2,,,,
40,21.902803,-102.269985,1,20,21.900034,-102.273118,2,1,21.900396,-102.292564,2,,,,
40,21.904913,-102.263479,1,20,21.899841,-102.271784,2,1,21.903989,-102.292413,2,,,,
40,21.904645,-102.261621,1,20,21.899377,-102.270846,2,1,21.907633,-102.292274,2,,,,
40,21.904293,-102.261043,1,20,21.896553,-102.271159,2,1,21.912709,-102.292092,2,,,,
40,21.903155,-102.260195,1,20,21.895605,-102.270679,2,1,21.915486,-102.291898,2,,,,
40,21.900275,-102.260033,1,20,21.895005,-102.269637,2,1,21.921306,-102.291642,2,,,,
40,21.898484,-102.259076,1,20,21.893999,-102.265551,2,1,21.925501,-102.291551,2,,,,
40,21.894432,-102.258932,1,,,,,1,21.932201,-102.291217,2,,,,
40,21.894298,-102.258896,2,,,,,1,21.939013,-102.290853,2,,,,
40,21.898484,-102.259076,2,,,,,1,21.944586,-102.290641,2,,,,
40,21.900275,-102.260033,2,,,,,,,,,,,,
40,21.903155,-102.260195,2,,,,,,,,,,,,
40,21.904293,-102.261043,2,,,,,,,,,,,,
40,21.904645,-102.261621,2,,,,,,,,,,,,
40,21.904913,-102.263479,2,,,,,,,,,,,,
40,21.902803,-102.269985,2,,,,,,,,,,,,
40,21.902649,-102.270189,2,,,,,,,,,,,,
40,21.897191,-102.271001,2,,,,,,,,,,,,
40,21.896404,-102.270875,2,,,,,,,,,,,,
40,21.895768,-102.270496,2,,,,,,,,,,,,
40,21.895366,-102.269864,2,,,,,,,,,,,,
40,21.894445,-102.266238,2,,,,,,,,,,,,
40,21.894027,-102.265155,2,,,,,,,,,,,,
40,21.893257,-102.264379,2,,,,,,,,,,,,
40,21.891247,-102.263242,2,,,,,,,,,,,,
40,21.885605,-102.260337,2,,,,,,,,,,,,
40,21.879376,-102.256999,2,,,,,,,,,,,,
40,21.874437,-102.255357,2,,,,,,,,,,,,
40,21.870334,-102.254184,2,,,,,,,,,,,,
40,21.866634,-102.252939,2,,,,,,,,,,,,
40,21.864172,-102.252344,2,,,,,,,,,,,,
40,21.862313,-102.252777,2,,,,,,,,,,,,
40,21.861024,-102.253733,2,,,,,,,,,,,,
40,21.859885,-102.255953,2,,,,,,,,,,,,
40,21.859701,-102.258316,2,,,,,,,,,,,,
40,21.859852,-102.269431,2,,,,,,,,,,,,
40,21.860036,-102.272896,2,,,,,,,,,,,,
40,21.859969,-102.275476,2,,,,,,,,,,,,
40,21.860053,-102.282874,2,,,,,,,,,,,,
40,21.859048,-102.287637,2,,,,,,,,,,,,
40,21.858026,-102.293141,2,,,,,,,,,,,,
40,21.857742,-102.294566,2,,,,,,,,,,,,
40,21.857775,-102.295089,2,,,,,,,,,,,,
40,21.857993,-102.296028,2,,,,,,,,,,,,
40,21.859466,-102.298969,2,,,,,,,,,,,,
40,21.860203,-102.300106,2,,,,,,,,,,,,
40,21.860187,-102.300683,2,,,,,,,,,,,,
40,21.859801,-102.301513,2,,,,,,,,,,,,
