Ruta,X,Y,Direccion
50,21.840337,-102.354559,1
50,21.841653,-102.354592,1
50,21.843108,-102.354592,1
50,21.843906,-102.354592,1
50,21.844383,-102.354463,1
50,21.845107,-102.354021,1
50,21.846077,-102.353451,1
50,21.847024,-102.352993,1
50,21.847569,-102.352743,1
50,21.848046,-102.352671,1
50,21.848479,-102.352735,1
50,21.849382,-102.353121,1
50,21.850008,-102.353378,1
50,21.850665,-102.353587,1
50,21.851187,-102.353571,1
50,21.851657,-102.353402,1
50,21.851993,-102.353185,1
50,21.852172,-102.352985,1
50,21.851963,-102.352655,1
50,21.851717,-102.352245,1
50,21.851329,-102.351538,1
50,21.850933,-102.350605,1
50,21.850665,-102.349553,1
50,21.850344,-102.348467,1
50,21.849837,-102.346828,1
50,21.849337,-102.345164,1
50,21.848971,-102.343991,1
50,21.848628,-102.342833,1
50,21.848225,-102.341459,1
50,21.847748,-102.340028,1
50,21.847405,-102.338855,1
50,21.847009,-102.337617,1
50,21.846301,-102.335262,1
50,21.845667,-102.333268,1
50,21.845092,-102.331315,1
50,21.844667,-102.329925,1
50,21.844167,-102.328382,1
50,21.843742,-102.327031,1
50,21.843555,-102.326059,1
50,21.843428,-102.324982,1
50,21.843324,-102.323913,1
50,21.843249,-102.323374,1
50,21.843234,-102.323005,1
50,21.843137,-102.322498,1
50,21.843011,-102.321936,1
50,21.842854,-102.321075,1
50,21.842735,-102.320497,1
50,21.842623,-102.319958,1
50,21.842459,-102.319042,1
50,21.842399,-102.318367,1
50,21.842451,-102.317812,1
50,21.842645,-102.317041,1
50,21.843018,-102.315674,1
50,21.843369,-102.314477,1
50,21.843675,-102.313416,1
50,21.844025,-102.312162,1
50,21.844458,-102.310578,1
50,21.844779,-102.309469,1
50,21.845129,-102.308256,1
50,21.845435,-102.307026,1
50,21.845629,-102.306085,1
50,21.845659,-102.305137,1
50,21.845547,-102.304044,1
50,21.845428,-102.303015,1
50,21.845338,-102.302171,1
50,21.845264,-102.301584,1
50,21.845159,-102.301022,1
50,21.845077,-102.300154,1
50,21.844928,-102.299037,1
50,21.844801,-102.298024,1
50,21.844771,-102.297027,1
50,21.844689,-102.295862,1
50,21.844652,-102.294897,1
50,21.844662,-102.294307,1
50,21.844652,-102.293695,1
50,21.844981,-102.293652,1
50,21.846076,-102.293749,1
50,21.847191,-102.293835,1
50,21.848376,-102.293867,1
50,21.849392,-102.293899,1
50,21.850159,-102.293974,1
50,21.850836,-102.294017,1
50,21.851732,-102.294039,1
50,21.852404,-102.294114,1
50,21.852414,-102.293599,1
50,21.852404,-102.292987,1
50,21.852399,-102.292295,1
50,21.851936,-102.292204,1
50,21.851394,-102.292118,1
50,21.850393,-102.291963,1
50,21.849457,-102.291695,1
50,21.848332,-102.291469,1
50,21.847246,-102.291309,1
50,21.846051,-102.291094,1
50,21.845225,-102.290933,1
50,21.844677,-102.290858,1
50,21.844886,-102.290386,1
50,21.845105,-102.289388,1
50,21.845324,-102.288326,1
50,21.845484,-102.287221,1
50,21.845663,-102.285987,1
50,21.845892,-102.284818,1
50,21.846131,-102.283112,1
50,21.846383,-102.281665,1
50,21.846509,-102.280808,1
50,21.846601,-102.280321,1
50,21.846744,-102.279518,1
50,21.846928,-102.278552,1
50,21.847422,-102.277064,1
50,21.847991,-102.275846,1
50,21.848561,-102.274962,1
50,21.849507,-102.273744,1
50,21.850548,-102.272744,1
50,21.851317,-102.271761,1
50,21.851685,-102.270989,1
50,21.851973,-102.270227,1
50,21.852183,-102.269315,1
50,21.852322,-102.268629,1
50,21.852581,-102.267534,1
50,21.852979,-102.265936,1
50,21.853308,-102.264541,1
50,21.853636,-102.263254,1
50,21.853995,-102.261762,1
50,21.854413,-102.260046,1
50,21.854742,-102.258587,1
50,21.854961,-102.257632,1
50,21.855135,-102.256975,1
50,21.855297,-102.256376,1
50,21.855586,-102.255208,1
50,21.855875,-102.253994,1
50,21.856149,-102.252841,1
50,21.856762,-102.251893,1
50,21.857698,-102.250959,1
50,21.858726,-102.250254,1
50,21.859818,-102.249639,1
50,21.861085,-102.249002,1
50,21.861944,-102.248517,1
50,21.862944,-102.247978,1
50,21.864134,-102.247371,1
50,21.865042,-102.246878,1
50,21.865676,-102.246294,1
50,21.866063,-102.245725,1
50,21.866338,-102.245232,1
50,21.866809,-102.244913,1
50,21.867529,-102.244555,1
50,21.867823,-102.244459,1
50,21.868187,-102.244325,1
50,21.868719,-102.244105,1
50,21.869197,-102.244088,1
50,21.869919,-102.244314,1
50,21.870736,-102.244662,1
50,21.871363,-102.244941,1
50,21.871935,-102.245188,1
50,21.872592,-102.245494,1
50,21.873165,-102.245714,1
50,21.873598,-102.245902,1
50,21.874479,-102.246229,1
50,21.875311,-102.246551,1
50,21.876112,-102.246883,1
50,21.876704,-102.247109,1
50,21.877362,-102.247334,1
50,21.878218,-102.247713,1
50,21.879523,-102.248239,1
50,21.880787,-102.248711,1
50,21.882151,-102.249215,1
50,21.883445,-102.249698,1
50,21.884501,-102.250138,1
50,21.885964,-102.250706,1
50,21.886801,-102.251052,1
50,21.887969,-102.251545,1
50,21.888807,-102.251954,1
50,21.889905,-102.252394,1
50,21.891095,-102.252925,1
50,21.891841,-102.253237,1
50,21.892425,-102.253472,1
50,21.892988,-102.253555,1
50,21.893756,-102.253487,1
50,21.894607,-102.253403,1
50,21.896079,-102.253237,1
50,21.896965,-102.253244,1
50,21.897824,-102.253328,1
50,21.898606,-102.253411,1
50,21.899281,-102.253457,1
50,21.899823,-102.253502,1
50,21.900281,-102.253737,1
50,21.900978,-102.254109,1
50,21.901794,-102.254481,1
50,21.902583,-102.254845,1
50,21.903336,-102.255209,1
50,21.904251,-102.255626,1
50,21.905229,-102.256089,1
50,21.906025,-102.256461,1
50,21.906735,-102.256795,1
50,21.907277,-102.257113,1
50,21.907883,-102.257667,1
50,21.908706,-102.258433,1
50,21.909368,-102.259002,1
50,21.909966,-102.259412,1
50,21.910719,-102.259776,1
50,21.911606,-102.260087,1
50,21.912359,-102.260337,1
50,21.913415,-102.260679,1
50,21.914288,-102.260952,1
50,21.915365,-102.261308,1
50,21.916061,-102.261582,1
50,21.916948,-102.261893,1
50,21.917582,-102.262052,1
50,21.918208,-102.261961,1
50,21.918785,-102.261786,1
50,21.919594,-102.261642,1
50,21.920481,-102.261612,1
50,21.921305,-102.261726,1
50,21.922008,-102.261923,1
50,21.922677,-102.262158,1
50,21.923332,-102.262477,1
50,21.924007,-102.262864,1
50,21.924577,-102.263213,1
50,21.925028,-102.263562,1
50,21.925668,-102.264305,1
50,21.926252,-102.264988,1
50,21.926879,-102.265769,1
50,21.927371,-102.266323,1
50,21.927808,-102.266885,1
50,21.928448,-102.267529,1
50,21.929102,-102.268129,1
50,21.929778,-102.268683,1
50,21.930454,-102.269183,1
50,21.931164,-102.269745,1
50,21.931988,-102.270389,1
50,21.932853,-102.271095,1
50,21.933635,-102.271694,1
50,21.934338,-102.272225,1
50,21.935345,-102.273014,1
50,21.936316,-102.273811,1
50,21.937012,-102.274403,1
50,21.937878,-102.275169,1
50,21.938701,-102.275981,1
50,21.939482,-102.276679,1
50,21.940285,-102.277452,1
50,21.940841,-102.277983,1
50,21.941333,-102.278492,1
50,21.941586,-102.278803,1
50,21.941791,-102.279243,1
50,21.942051,-102.279865,1
50,21.942283,-102.280881,1
50,21.942536,-102.281982,1
50,21.942783,-102.282968,1
50,21.943099,-102.284235,1
50,21.943458,-102.285767,1
50,21.943747,-102.287042,1
50,21.944042,-102.288119,1
50,21.944366,-102.289386,1
50,21.944612,-102.290418,1
50,21.944683,-102.290698,1
50,21.944753,-102.291047,1
50,21.944929,-102.291867,1
50,21.945105,-102.293012,1
50,21.945323,-102.294241,1
50,21.945569,-102.295592,1
50,21.945738,-102.296403,1
50,21.945851,-102.297086,1
50,21.945949,-102.297739,1
50,21.946041,-102.298368,1
50,21.946266,-102.299521,1
50,21.946505,-102.300796,1
50,21.946688,-102.301896,1
50,21.946878,-102.302912,1
50,21.947209,-102.304771,1
50,21.947455,-102.306084,1
50,21.947694,-102.307426,1
50,21.947898,-102.308481,1
50,21.948088,-102.309657,1
50,21.948335,-102.311189,1
50,21.948567,-102.312418,1
50,21.948757,-102.313435,1
50,21.948947,-102.314565,1
50,21.949207,-102.315992,1
50,21.949468,-102.317387,1
50,21.949742,-102.318874,1
50,21.950052,-102.320665,1
50,21.950221,-102.321643,1
50,21.950418,-102.322705,1
50,21.950558,-102.323563,1
50,21.950671,-102.324177,1
50,21.950776,-102.324746,1
50,21.950952,-102.325672,1
50,21.951135,-102.326741,1
50,21.951262,-102.327629,1
50,21.951515,-102.328752,1
50,21.951705,-102.329791,1
50,21.952008,-102.331422,1
50,21.952331,-102.333031,1
50,21.952613,-102.334282,1
50,21.952831,-102.335003,1
50,21.952944,-102.335398,1
50,21.953042,-102.335754,1
50,21.953302,-102.336088,1
50,21.953936,-102.336809,1
50,21.954449,-102.337454,1
50,21.954935,-102.338023,1
50,21.954675,-102.338136,1
50,21.954168,-102.338394,1
50,21.953872,-102.338698,1
50,21.953521,-102.339176,1
50,21.953401,-102.339676,1
50,21.953274,-102.340746,1
50,21.953183,-102.341778,1
50,21.953091,-102.342703,1
50,21.953077,-102.343356,1
50,21.952915,-102.343993,1
50,21.952606,-102.345177,1
50,21.952285,-102.346558,1
50,21.952126,-102.347385,1
50,21.951961,-102.348018,1
50,21.951908,-102.348819,1
50,21.951929,-102.350196,1
50,21.951915,-102.351743,1
50,21.951732,-102.351785,2
50,21.951743,-102.350529,2
50,21.951746,-102.349475,2
50,21.951771,-102.347916,2
50,21.951827,-102.347373,2
50,21.952042,-102.346327,2
50,21.952323,-102.344938,2
50,21.952661,-102.343713,2
50,21.952872,-102.343197,2
50,21.952932,-102.342928,2
50,21.953024,-102.341794,2
50,21.953107,-102.340791,2
50,21.953186,-102.339756,2
50,21.953301,-102.339182,2
50,21.953515,-102.338785,2
50,21.953858,-102.338436,2
50,21.954172,-102.338189,2
50,21.954555,-102.338071,2
50,21.954749,-102.338018,2
50,21.954545,-102.337782,2
50,21.954381,-102.337583,2
50,21.954073,-102.337229,2
50,21.953615,-102.336725,2
50,21.953157,-102.336188,2
50,21.952829,-102.335727,2
50,21.952495,-102.335424,2
50,21.952327,-102.335249,2
50,21.952334,-102.335067,2
50,21.952362,-102.334877,2
50,21.952552,-102.334635,2
50,21.952593,-102.334478,2
50,21.952613,-102.334282,2
50,21.952331,-102.333031,2
50,21.952008,-102.331422,2
50,21.951705,-102.329791,2
50,21.951515,-102.328752,2
50,21.951262,-102.327629,2
50,21.951135,-102.326741,2
50,21.950952,-102.325672,2
50,21.950776,-102.324746,2
50,21.950671,-102.324177,2
50,21.950558,-102.323563,2
50,21.950418,-102.322705,2
50,21.950221,-102.321643,2
50,21.950052,-102.320665,2
50,21.949742,-102.318874,2
50,21.949468,-102.317387,2
50,21.949207,-102.315992,2
50,21.948947,-102.314565,2
50,21.948757,-102.313435,2
50,21.948567,-102.312418,2
50,21.948335,-102.311189,2
50,21.948088,-102.309657,2
50,21.947898,-102.308481,2
50,21.947694,-102.307426,2
50,21.947455,-102.306084,2
50,21.947209,-102.304771,2
50,21.946878,-102.302912,2
50,21.946688,-102.301896,2
50,21.946505,-102.300796,2
50,21.946266,-102.299521,2
50,21.946041,-102.298368,2
50,21.945949,-102.297739,2
50,21.945851,-102.297086,2
50,21.945738,-102.296403,2
50,21.945569,-102.295592,2
50,21.945323,-102.294241,2
50,21.945105,-102.293012,2
50,21.944929,-102.291867,2
50,21.944753,-102.291047,2
50,21.944683,-102.290698,2
50,21.944612,-102.290418,2
50,21.944366,-102.289386,2
50,21.944042,-102.288119,2
50,21.943747,-102.287042,2
50,21.943458,-102.285767,2
50,21.943099,-102.284235,2
50,21.942783,-102.282968,2
50,21.942536,-102.281982,2
50,21.942283,-102.280881,2
50,21.942051,-102.279865,2
50,21.941791,-102.279243,2
50,21.941586,-102.278803,2
50,21.941333,-102.278492,2
50,21.940841,-102.277983,2
50,21.940285,-102.277452,2
50,21.939482,-102.276679,2
50,21.938701,-102.275981,2
50,21.937878,-102.275169,2
50,21.937012,-102.274403,2
50,21.936316,-102.273811,2
50,21.935345,-102.273014,2
50,21.934338,-102.272225,2
50,21.933635,-102.271694,2
50,21.932853,-102.271095,2
50,21.931988,-102.270389,2
50,21.931164,-102.269745,2
50,21.930454,-102.269183,2
50,21.929778,-102.268683,2
50,21.929102,-102.268129,2
50,21.928448,-102.267529,2
50,21.927808,-102.266885,2
50,21.927371,-102.266323,2
50,21.926879,-102.265769,2
50,21.926252,-102.264988,2
50,21.925668,-102.264305,2
50,21.925028,-102.263562,2
50,21.924577,-102.263213,2
50,21.924007,-102.262864,2
50,21.923332,-102.262477,2
50,21.922677,-102.262158,2
50,21.922008,-102.261923,2
50,21.921305,-102.261726,2
50,21.920481,-102.261612,2
50,21.919594,-102.261642,2
50,21.918785,-102.261786,2
50,21.918208,-102.261961,2
50,21.917582,-102.262052,2
50,21.916948,-102.261893,2
50,21.916061,-102.261582,2
50,21.915365,-102.261308,2
50,21.914288,-102.260952,2
50,21.913415,-102.260679,2
50,21.912359,-102.260337,2
50,21.911606,-102.260087,2
50,21.910719,-102.259776,2
50,21.909966,-102.259412,2
50,21.909368,-102.259002,2
50,21.908706,-102.258433,2
50,21.907883,-102.257667,2
50,21.907277,-102.257113,2
50,21.906735,-102.256795,2
50,21.906025,-102.256461,2
50,21.905229,-102.256089,2
50,21.904251,-102.255626,2
50,21.903336,-102.255209,2
50,21.902583,-102.254845,2
50,21.901794,-102.254481,2
50,21.900978,-102.254109,2
50,21.900281,-102.253737,2
50,21.899823,-102.253502,2
50,21.899281,-102.253457,2
50,21.898606,-102.253411,2
50,21.897824,-102.253328,2
50,21.896965,-102.253244,2
50,21.896079,-102.253237,2
50,21.894607,-102.253403,2
50,21.893756,-102.253487,2
50,21.892988,-102.253555,2
50,21.892425,-102.253472,2
50,21.891841,-102.253237,2
50,21.891095,-102.252925,2
50,21.889905,-102.252394,2
50,21.888807,-102.251954,2
50,21.887969,-102.251545,2
50,21.886801,-102.251052,2
50,21.885964,-102.250706,2
50,21.884501,-102.250138,2
50,21.883445,-102.249698,2
50,21.882151,-102.249215,2
50,21.880787,-102.248711,2
50,21.879523,-102.248239,2
50,21.878218,-102.247713,2
50,21.877362,-102.247334,2
50,21.876704,-102.247109,2
50,21.876112,-102.246883,2
50,21.875311,-102.246551,2
50,21.874479,-102.246229,2
50,21.873598,-102.245902,2
50,21.873165,-102.245714,2
50,21.872592,-102.245494,2
50,21.871935,-102.245188,2
50,21.871363,-102.244941,2
50,21.870736,-102.244662,2
50,21.869919,-102.244314,2
50,21.869197,-102.244088,2
50,21.868719,-102.244105,2
50,21.868187,-102.244325,2
50,21.867823,-102.244459,2
50,21.867529,-102.244555,2
50,21.866809,-102.244913,2
50,21.866338,-102.245232,2
50,21.866063,-102.245725,2
50,21.865676,-102.246294,2
50,21.865042,-102.246878,2
50,21.864134,-102.247371,2
50,21.862944,-102.247978,2
50,21.861944,-102.248517,2
50,21.861085,-102.249002,2
50,21.859818,-102.249639,2
50,21.858726,-102.250254,2
50,21.857698,-102.250959,2
50,21.856762,-102.251893,2
50,21.856149,-102.252841,2
50,21.855875,-102.253994,2
50,21.855586,-102.255208,2
50,21.855297,-102.256376,2
50,21.855135,-102.256975,2
50,21.854961,-102.257632,2
50,21.854742,-102.258587,2
50,21.854413,-102.260046,2
50,21.853995,-102.261762,2
50,21.853636,-102.263254,2
50,21.853308,-102.264541,2
50,21.852979,-102.265936,2
50,21.852581,-102.267534,2
50,21.852322,-102.268629,2
50,21.852183,-102.269315,2
50,21.851973,-102.270227,2
50,21.851685,-102.270989,2
50,21.851317,-102.271761,2
50,21.850548,-102.272744,2
50,21.849507,-102.273744,2
50,21.848561,-102.274962,2
50,21.847991,-102.275846,2
50,21.847422,-102.277064,2
50,21.846928,-102.278552,2
50,21.846744,-102.279518,2
50,21.846601,-102.280321,2
50,21.846509,-102.280808,2
50,21.846383,-102.281665,2
50,21.846131,-102.283112,2
50,21.845892,-102.284818,2
50,21.845663,-102.285987,2
50,21.845484,-102.287221,2
50,21.845324,-102.288326,2
50,21.845105,-102.289388,2
50,21.844886,-102.290386,2
50,21.844876,-102.290804,2
50,21.844806,-102.291319,2
50,21.844757,-102.292038,2
50,21.844717,-102.292875,2
50,21.844747,-102.293326,2
50,21.844916,-102.293551,2
50,21.845085,-102.293637,2
50,21.845772,-102.293712,2
50,21.846778,-102.293787,2
50,21.847953,-102.293851,2
50,21.849068,-102.293905,2
50,21.850183,-102.293937,2
50,21.850811,-102.294002,2
50,21.851438,-102.294023,2
50,21.852046,-102.294077,2
50,21.852394,-102.294096,2
50,21.852365,-102.294293,2
50,21.851809,-102.294217,2
50,21.851161,-102.294164,2
50,21.850507,-102.294141,2
50,21.849894,-102.294111,2
50,21.849148,-102.294073,2
50,21.848253,-102.294035,2
50,21.847408,-102.293989,2
50,21.846303,-102.293921,2
50,21.845444,-102.293853,2
50,21.844937,-102.293845,2
50,21.844859,-102.293967,2
50,21.844662,-102.294307,2
50,21.844652,-102.294897,2
50,21.844689,-102.295862,2
50,21.844771,-102.297027,2
50,21.844801,-102.298024,2
50,21.844928,-102.299037,2
50,21.845077,-102.300154,2
50,21.845159,-102.301022,2
50,21.845264,-102.301584,2
50,21.845338,-102.302171,2
50,21.845428,-102.303015,2
50,21.845547,-102.304044,2
50,21.845659,-102.305137,2
50,21.845629,-102.306085,2
50,21.845435,-102.307026,2
50,21.845129,-102.308256,2
50,21.844779,-102.309469,2
50,21.844458,-102.310578,2
50,21.844025,-102.312162,2
50,21.843675,-102.313416,2
50,21.843369,-102.314477,2
50,21.843018,-102.315674,2
50,21.842645,-102.317041,2
50,21.842451,-102.317812,2
50,21.842399,-102.318367,2
50,21.842459,-102.319042,2
50,21.842623,-102.319958,2
50,21.842735,-102.320497,2
50,21.842854,-102.321075,2
50,21.843011,-102.321936,2
50,21.843137,-102.322498,2
50,21.843234,-102.323005,2
50,21.843249,-102.323374,2
50,21.843324,-102.323913,2
50,21.843428,-102.324982,2
50,21.843555,-102.326059,2
50,21.843742,-102.327031,2
50,21.844167,-102.328382,2
50,21.844667,-102.329925,2
50,21.845092,-102.331315,2
50,21.845667,-102.333268,2
50,21.846301,-102.335262,2
50,21.847009,-102.337617,2
50,21.847405,-102.338855,2
50,21.847748,-102.340028,2
50,21.848225,-102.341459,2
50,21.848628,-102.342833,2
50,21.848971,-102.343991,2
50,21.849337,-102.345164,2
50,21.849837,-102.346828,2
50,21.850344,-102.348467,2
50,21.850665,-102.349553,2
50,21.850933,-102.350605,2
50,21.851329,-102.351538,2
50,21.851717,-102.352245,2
50,21.851963,-102.352655,2
50,21.852172,-102.352985,2
50,21.851993,-102.353185,2
50,21.851657,-102.353402,2
50,21.851187,-102.353571,2
50,21.850665,-102.353587,2
50,21.850008,-102.353378,2
50,21.849382,-102.353121,2
50,21.848479,-102.352735,2
50,21.848046,-102.352671,2
50,21.847569,-102.352743,2
50,21.847024,-102.352993,2
50,21.846077,-102.353451,2
50,21.845107,-102.354021,2
50,21.844383,-102.354463,2
50,21.843906,-102.354592,2
50,21.843108,-102.354592,2
50,21.841653,-102.354592,2
50,21.840337,-102.354559,2
